"","code_CH"
"385","6642"
"386","6642.01"
"387","6642.02"
"388","6643"
"389","6643.01"
"390","6643.02"
"391","665"
"392","6650"
"393","6650.00"
"394","67"
"395","670"
"396","6700"
"397","6700.01"
"398","6700.02"
"399","6700.03"
"400","6700.04"
"401","68"
"402","681"
"403","6811"
"404","6811.01"
"405","6811.02"
"406","6811.03"
"407","6811.04"
"408","6811.05"
"409","6811.06"
"410","6811.07"
"411","6812"
"412","6812.00"
"413","682"
"414","6820"
"415","6820.01"
"416","6820.02"
"417","6820.03"
"418","683"
"419","6831"
"420","6831.00"
"421","6832"
"422","6832.00"
"423","6833"
"424","6833.01"
"425","6833.02"
"426","6833.03"
"427","6833.04"
"428","6833.05"
"429","6834"
"430","6834.00"
"431","30"
"432","31"
"433","310"
"434","3100"
"435","3100.01"
"436","3100.02"
"437","3100.03"
"438","3100.04"
"439","3100.05"
"440","32"
"441","320"
"442","3200"
"443","3200.01"
"444","3200.02"
"445","3200.03"
"446","3200.04"
"447","3200.05"
"448","33"
"449","330"
"450","3300"
"451","3300.01"
"452","3300.02"
"453","35"
"454","36"
"455","360"
"456","3600"
"457","3600.01"
"458","3600.02"
"459","3600.03"
"460","40"
"461","41"
"462","410"
"463","4100"
"464","4100.01"
"465","4100.02"
"466","42"
"467","420"
"468","4201"
"469","4201.01"
"470","4201.02"
"471","4201.03"
"472","4201.04"
"473","4202"
"474","4202.01"
"475","4202.02"
"476","4203"
"477","4203.01"
"478","4203.02"
"479","4203.03"
"480","4203.04"
"481","43"
"482","430"
"483","4300"
"484","4300.01"
"485","4300.02"
"486","4300.03"
"487","4300.04"
"488","4300.05"
"489","4300.06"
"490","44"
"491","441"
"492","4410"
"493","4410.00"
"494","442"
"495","4421"
"496","4421.01"
"497","4421.02"
"498","4422"
"499","4422.00"
"500","4423"
"501","4423.01"
"502","4423.02"
"503","4423.03"
"504","4423.04"
"505","4423.05"
"506","4423.06"
"507","4423.07"
"508","4423.08"
"509","4424"
"510","4424.01"
"511","4424.02"
"512","4425"
"513","4425.00"
"514","4426"
"515","4426.00"
"516","4427"
"517","4427.01"
"518","4427.02"
"519","4427.03"
"520","4427.04"
"521","4427.05"
"522","4427.06"
"523","4428"
"524","4428.01"
"525","4428.02"
"526","4428.03"
"527","80"
"528","81"
"529","810"
"530","8100"
"531","8100.01"
"532","8100.02"
